Date,Open,High,Low,Close,Volume
12/03/2024,"351.80","355.69","348.20","351.42","58,267,199"
12/02/2024,"352.38","360.00","351.15","357.09","77,986,477"
11/29/2024,"336.08","345.45","334.65","345.16","37,167,621"
11/27/2024,"341.80","342.55","326.59","332.89","57,896,441"
11/26/2024,"341.00","346.96","335.66","338.23","62,295,859"
11/25/2024,"360.14","361.93","338.20","338.59","95,890,898"
11/22/2024,"341.09","361.53","337.70","352.56","89,140,719"
11/21/2024,"343.81","347.99","335.28","339.64","58,011,719"
11/20/2024,"345.00","346.60","334.30","342.03","66,340,648"
11/19/2024,"335.76","347.38","332.75","346.00","88,852,445"
11/18/2024,"340.73","348.55","330.01","338.74","126,547,508"
11/15/2024,"310.57","324.68","309.22","320.72","114,440,305"
11/14/2024,"327.69","329.98","310.37","311.18","120,726,094"
11/13/2024,"335.85","344.60","322.50","330.24","125,405,602"
11/12/2024,"342.74","345.84","323.31","328.49","155,726,000"
11/11/2024,"346.30","358.64","336.00","350.00","210,521,594"
11/08/2024,"299.14","328.71","297.66","321.22","204,782,797"
11/07/2024,"288.89","299.75","285.52","296.91","117,309,203"
11/06/2024,"284.67","289.59","275.62","288.53","165,228,703"
11/05/2024,"247.34","255.28","246.21","251.44","69,282,516"
11/04/2024,"244.56","248.90","238.88","242.84","68,802,352"
11/01/2024,"252.04","254.00","246.63","248.98","57,544,762"
10/31/2024,"257.99","259.75","249.25","249.85","66,575,289"
10/30/2024,"258.04","263.35","255.82","257.55","53,993,578"
10/29/2024,"264.51","264.98","255.51","259.52","80,521,750"
10/28/2024,"270.00","273.54","262.24","262.51","107,653,602"
10/25/2024,"256.01","269.49","255.32","269.19","161,611,906"
10/24/2024,"244.68","262.12","242.65","260.48","204,491,906"
10/23/2024,"217.13","218.72","212.11","213.65","80,938,891"
10/22/2024,"217.31","218.22","215.26","217.97","43,268,738"
10/21/2024,"218.90","220.48","215.73","218.85","47,328,992"
10/18/2024,"220.71","222.28","219.23","220.70","49,611,871"
10/17/2024,"221.59","222.08","217.90","220.89","50,791,781"
10/16/2024,"221.40","222.82","218.93","221.33","49,632,820"
10/15/2024,"220.01","224.26","217.12","219.57","62,988,793"
10/14/2024,"220.13","221.91","213.74","219.16","86,291,922"
10/11/2024,"220.13","223.34","214.38","217.80","142,628,891"
10/10/2024,"241.81","242.79","232.34","238.77","83,087,055"
10/09/2024,"243.82","247.43","239.51","241.05","66,289,531"
10/08/2024,"243.56","246.21","240.56","244.50","56,303,160"
10/07/2024,"249.00","249.83","240.70","240.83","68,113,273"
10/04/2024,"246.69","250.96","244.58","250.08","86,726,289"
10/03/2024,"244.48","249.79","237.81","240.66","80,729,242"
10/02/2024,"247.55","251.16","241.50","249.02","93,983,930"
10/01/2024,"262.67","263.98","248.53","258.02","87,397,609"
09/30/2024,"259.04","264.86","255.77","261.63","80,873,375"
09/27/2024,"257.38","260.70","254.12","260.46","70,988,070"
09/26/2024,"260.60","261.75","251.53","254.22","67,142,195"
09/25/2024,"252.54","257.05","252.28","257.02","65,034,320"
09/24/2024,"254.08","257.19","249.05","254.27","88,491,000"
09/23/2024,"242.61","250.00","241.92","250.00","86,927,195"
09/20/2024,"241.52","243.99","235.92","238.25","99,879,070"
09/19/2024,"234.00","244.24","232.13","243.92","102,694,602"
09/18/2024,"230.09","235.68","226.88","227.20","78,010,203"
09/17/2024,"229.45","234.57","226.55","227.87","66,761,641"
09/16/2024,"229.30","229.96","223.53","226.78","54,323,000"
09/13/2024,"228.00","232.67","226.32","230.29","59,515,113"
09/12/2024,"224.66","231.45","223.83","229.81","72,020,039"
09/11/2024,"224.55","228.47","216.80","228.13","83,548,633"
09/10/2024,"220.07","226.40","218.64","226.17","78,891,133"
09/09/2024,"216.20","219.87","213.67","216.27","67,443,523"
09/06/2024,"232.60","233.60","210.51","210.73","112,177,000"
09/05/2024,"223.49","235.00","222.25","230.17","119,355,000"
09/04/2024,"210.59","222.22","210.57","219.41","80,651,766"
09/03/2024,"215.26","219.90","209.64","210.60","76,551,800"
08/30/2024,"208.63","214.57","207.03","214.11","63,370,609"
08/29/2024,"209.80","214.89","205.97","206.28","62,308,820"
08/28/2024,"209.72","211.84","202.59","205.75","64,116,352"
08/27/2024,"213.25","215.66","206.94","209.21","62,821,391"
08/26/2024,"218.75","219.09","211.01","213.21","59,301,191"
08/23/2024,"214.46","221.48","214.21","220.32","81,525,211"
08/22/2024,"223.82","224.80","210.32","210.66","79,514,477"
08/21/2024,"222.67","224.66","218.86","223.27","70,145,961"
08/20/2024,"224.88","228.22","219.56","221.10","74,001,188"
08/19/2024,"217.07","222.98","214.09","222.72","76,435,219"
08/16/2024,"211.15","219.80","210.80","216.12","88,765,117"
