Date,Open,High,Low,Close,Volume
12/07/2018,24.6,25.3,23.84,23.86,"172,667,892"
12/10/2018,24.0,24.4,23.54,24.34,"99,201,927"
12/11/2018,24.66,24.81,24.02,24.45,"94,631,617"
12/12/2018,24.63,24.79,24.34,24.44,"75,405,797"
12/13/2018,24.68,25.16,24.45,25.12,"110,487,923"
12/14/2018,25.0,25.19,24.29,24.38,"95,063,438"
12/17/2018,24.13,24.38,22.93,23.23,"115,110,238"
12/18/2018,23.37,23.44,22.25,22.47,"106,500,094"
12/19/2018,22.51,23.13,21.98,22.2,"124,112,827"
12/20/2018,21.8,22.02,20.79,21.03,"136,077,995"
12/21/2018,21.16,21.56,20.83,21.32,"120,252,123"
12/24/2018,20.9,20.97,19.68,19.69,"83,398,781"
12/26/2018,20.0,21.8,19.61,21.74,"122,447,196"
12/27/2018,21.32,21.48,20.1,21.08,"128,627,127"
12/28/2018,21.54,22.42,21.23,22.26,"149,085,033"
12/31/2018,22.52,22.61,21.68,22.19,"94,535,152"
01/02/2019,20.41,21.01,19.92,20.67,"174,879,915"
01/03/2019,20.47,20.63,19.83,20.02,"104,477,867"
01/04/2019,20.4,21.2,20.18,21.18,"110,911,869"
01/07/2019,21.45,22.45,21.18,22.33,"113,268,476"
01/08/2019,22.8,22.93,21.8,22.36,"105,127,848"
01/09/2019,22.37,22.9,22.1,22.57,"81,494,244"
01/10/2019,22.29,23.03,22.12,23.0,"90,845,403"
01/11/2019,22.81,23.23,22.58,23.15,"75,585,843"
01/14/2019,22.83,22.83,22.27,22.29,"78,709,341"
01/15/2019,22.33,23.25,22.3,22.96,"90,848,928"
01/16/2019,22.99,23.47,22.9,23.07,"70,376,157"
01/17/2019,23.08,23.43,22.94,23.15,"55,151,052"
01/18/2019,21.53,21.81,19.98,20.15,"362,261,802"
01/22/2019,20.32,20.53,19.7,19.93,"181,001,301"
01/23/2019,19.5,19.63,18.78,19.17,"187,950,058"
01/24/2019,18.87,19.58,18.62,19.43,"120,182,448"
01/25/2019,19.63,19.9,19.3,19.8,"108,871,282"
01/28/2019,19.53,19.83,19.18,19.76,"96,349,269"
01/29/2019,19.68,19.9,19.45,19.83,"69,325,451"
01/30/2019,20.03,20.6,19.9,20.58,"168,754,973"
01/31/2019,20.07,20.77,19.6,20.47,"188,538,914"
02/01/2019,20.36,21.07,20.23,20.81,"109,251,697"
02/04/2019,20.87,21.02,20.13,20.86,"110,281,343"
02/05/2019,20.83,21.5,20.82,21.42,"101,141,579"
02/06/2019,21.31,21.62,21.04,21.15,"75,578,268"
02/07/2019,20.89,20.98,20.2,20.5,"97,809,250"
02/08/2019,20.46,20.5,19.9,20.39,"87,663,270"
02/11/2019,20.77,21.24,20.7,20.86,"106,945,790"
02/12/2019,21.08,21.21,20.64,20.79,"82,763,635"
02/13/2019,20.82,20.85,20.37,20.54,"77,124,334"
02/14/2019,20.23,20.45,20.07,20.25,"78,012,560"
02/15/2019,20.3,20.53,20.26,20.53,"58,574,265"
02/19/2019,20.44,20.77,20.36,20.38,"62,526,709"
02/20/2019,20.29,20.42,19.93,20.17,"107,131,850"
02/21/2019,20.12,20.22,19.37,19.42,"133,637,852"
02/22/2019,19.63,19.77,19.47,19.65,"86,108,458"
02/25/2019,19.86,20.19,19.8,19.92,"99,397,932"
02/26/2019,19.48,20.13,19.25,19.86,"128,738,157"
02/27/2019,20.12,21.09,20.04,20.98,"167,758,792"
02/28/2019,21.26,21.33,20.72,21.33,"157,809,912"
03/01/2019,20.46,20.48,19.46,19.65,"343,671,008"
03/04/2019,19.87,19.93,18.85,19.02,"256,452,533"
03/05/2019,18.8,18.93,18.01,18.44,"281,471,359"
03/06/2019,18.43,18.77,18.29,18.42,"155,032,494"
03/07/2019,18.59,18.98,18.28,18.44,"141,637,390"
03/08/2019,18.46,19.04,18.39,18.94,"132,294,511"
03/11/2019,18.9,19.42,18.7,19.39,"110,884,269"
03/12/2019,19.1,19.2,18.74,18.89,"112,562,156"
03/13/2019,18.93,19.47,18.85,19.26,"102,670,875"
03/14/2019,19.5,19.69,19.22,19.33,"106,551,799"
03/15/2019,18.9,18.91,18.29,18.36,"221,783,163"
03/18/2019,18.4,18.54,17.82,17.97,"154,214,843"
03/19/2019,17.83,18.22,17.56,17.83,"177,009,617"
03/20/2019,17.98,18.33,17.75,18.24,"103,623,466"
03/21/2019,18.17,18.43,17.9,18.27,"89,206,562"
03/22/2019,18.17,18.19,17.6,17.64,"131,184,270"
03/25/2019,17.31,17.55,16.96,17.36,"153,225,592"
03/26/2019,17.63,18.02,17.63,17.85,"110,264,348"
03/27/2019,17.92,18.36,17.88,18.32,"131,687,610"
03/28/2019,18.48,18.69,18.34,18.57,"101,611,484"
03/29/2019,18.58,18.68,18.3,18.66,"89,870,162"
04/01/2019,18.84,19.28,18.75,19.28,"121,656,710"
04/02/2019,19.22,19.3,18.93,19.06,"82,184,169"
04/03/2019,19.15,19.74,19.14,19.45,"118,948,082"
04/04/2019,17.46,18.08,17.37,17.85,"355,811,315"
04/05/2019,17.99,18.41,17.74,18.33,"195,574,101"
04/08/2019,18.51,18.74,18.03,18.21,"156,156,745"
04/09/2019,18.11,18.33,17.97,18.15,"88,560,541"
04/10/2019,18.45,18.56,18.19,18.4,"105,919,819"
04/11/2019,17.89,18.03,17.71,17.89,"147,539,057"
04/12/2019,18.01,18.13,17.79,17.85,"101,189,714"
04/15/2019,17.91,17.93,17.24,17.76,"150,578,870"
04/16/2019,17.72,18.33,17.65,18.22,"109,094,062"
04/17/2019,18.32,18.32,17.9,18.08,"76,897,084"
04/18/2019,18.08,18.32,17.98,18.22,"88,144,966"
04/22/2019,17.93,17.98,17.5,17.52,"182,207,272"
04/23/2019,17.34,17.71,17.05,17.59,"164,158,069"
04/24/2019,17.59,17.69,17.2,17.24,"160,911,900"
04/25/2019,17.0,17.27,16.4,16.51,"327,741,202"
04/26/2019,16.43,16.45,15.41,15.68,"335,411,039"
04/29/2019,15.72,16.27,15.48,16.1,"250,717,457"
04/30/2019,16.14,16.28,15.8,15.91,"141,969,551"
05/01/2019,15.92,16.0,15.43,15.6,"160,565,385"
05/02/2019,16.37,16.48,15.85,16.27,"272,390,350"
05/03/2019,16.26,17.11,16.23,17.0,"355,601,885"
05/06/2019,16.67,17.22,16.57,17.02,"162,509,267"
05/07/2019,17.12,17.15,16.34,16.47,"151,971,291"
05/08/2019,16.46,16.71,16.28,16.32,"92,646,710"
05/09/2019,16.13,16.25,15.8,16.13,"100,670,818"
05/10/2019,15.98,16.13,15.73,15.97,"105,125,148"
05/13/2019,15.47,15.5,14.97,15.13,"162,522,182"
05/14/2019,15.29,15.63,15.2,15.49,"108,786,307"
05/15/2019,15.29,15.5,15.02,15.46,"109,439,752"
05/16/2019,15.3,15.4,15.1,15.22,"112,249,195"
05/17/2019,14.8,14.82,13.93,14.07,"266,800,324"
05/20/2019,13.52,13.73,13.02,13.69,"307,893,301"
05/21/2019,13.18,13.83,13.07,13.67,"270,058,747"
05/22/2019,13.27,13.6,12.79,12.85,"280,278,123"
05/23/2019,12.96,13.3,12.41,13.03,"398,207,494"
05/24/2019,13.32,13.33,12.58,12.71,"212,048,738"
05/28/2019,12.75,13.0,12.52,12.58,"154,693,644"
05/29/2019,12.47,12.83,12.34,12.66,"179,529,799"
05/30/2019,12.58,12.82,12.47,12.55,"118,897,277"
05/31/2019,12.34,12.66,12.27,12.34,"156,101,080"
06/03/2019,12.37,12.45,11.8,11.93,"195,966,336"
06/04/2019,12.07,12.93,11.97,12.91,"207,113,013"
06/05/2019,13.25,13.42,12.79,13.11,"202,661,623"
06/06/2019,13.63,14.07,13.45,13.73,"303,632,622"
06/07/2019,13.67,14.06,13.57,13.63,"240,053,152"
06/10/2019,14.02,14.46,13.93,14.19,"158,775,763"
06/11/2019,14.61,14.73,14.23,14.47,"174,803,265"
06/12/2019,14.86,14.89,13.93,13.95,"227,963,334"
06/13/2019,14.03,14.33,13.83,14.26,"122,524,011"
06/14/2019,14.08,14.44,14.03,14.33,"111,501,145"
06/17/2019,14.37,15.13,14.28,15.0,"184,752,220"
06/18/2019,15.25,15.65,14.84,14.98,"190,737,016"
06/19/2019,15.01,15.18,14.74,15.1,"98,627,111"
06/20/2019,14.87,15.13,14.42,14.64,"177,952,083"
06/21/2019,14.41,14.81,14.37,14.79,"123,031,296"
06/24/2019,14.88,15.06,14.73,14.91,"86,261,654"
06/25/2019,14.96,15.02,14.63,14.65,"92,731,145"
06/26/2019,14.69,15.15,14.54,14.62,"127,608,266"
06/27/2019,14.63,14.86,14.49,14.86,"95,095,748"
06/28/2019,14.73,15.01,14.72,14.9,"102,770,851"
07/01/2019,15.35,15.54,15.09,15.14,"123,569,587"
07/02/2019,15.26,15.28,14.81,14.97,"138,885,548"
07/03/2019,15.96,16.1,15.63,15.66,"213,017,454"
07/05/2019,15.64,15.7,15.39,15.54,"105,986,179"
07/08/2019,15.42,15.48,15.24,15.36,"88,208,221"
07/09/2019,15.26,15.4,15.15,15.34,"92,862,620"
07/10/2019,15.61,15.93,15.54,15.93,"137,186,181"
07/11/2019,15.88,16.1,15.72,15.91,"112,716,566"
07/12/2019,15.98,16.36,15.98,16.34,"138,007,942"
07/15/2019,16.53,16.96,16.32,16.9,"165,001,504"
07/16/2019,16.62,16.9,16.53,16.83,"122,234,931"
07/17/2019,17.04,17.22,16.89,16.99,"146,471,055"
07/18/2019,17.0,17.05,16.79,16.9,"71,467,303"
07/19/2019,17.05,17.33,16.97,17.21,"105,726,259"
07/22/2019,17.25,17.48,16.95,17.05,"102,694,170"
07/23/2019,17.11,17.37,16.97,17.34,"75,346,892"
07/24/2019,17.28,17.74,17.21,17.66,"166,092,771"
07/25/2019,15.57,15.63,15.04,15.25,"336,274,065"
07/26/2019,15.13,15.35,14.82,15.2,"150,415,669"
07/29/2019,15.14,15.73,15.07,15.72,"139,100,108"
07/30/2019,15.53,16.22,15.48,16.15,"121,635,335"
07/31/2019,16.2,16.45,15.78,16.11,"137,673,261"
08/01/2019,16.18,16.3,15.45,15.59,"123,892,867"
08/02/2019,15.42,15.75,15.28,15.62,"92,047,310"
08/05/2019,15.31,15.42,15.05,15.22,"105,424,278"
08/06/2019,15.46,15.5,15.05,15.38,"83,463,101"
08/07/2019,15.1,15.57,15.05,15.56,"71,647,574"
08/08/2019,15.63,15.99,15.51,15.89,"79,115,316"
08/09/2019,15.74,15.93,15.59,15.67,"58,473,720"
08/12/2019,15.53,15.72,15.25,15.27,"69,959,127"
08/13/2019,15.25,15.73,15.17,15.67,"73,035,060"
08/14/2019,15.41,15.43,14.45,14.64,"143,439,027"
08/15/2019,14.72,14.77,14.1,14.38,"123,479,407"
08/16/2019,14.44,14.82,14.4,14.66,"78,110,720"
08/19/2019,14.95,15.19,14.78,15.12,"79,676,302"
08/20/2019,15.17,15.27,14.97,15.06,"62,557,969"
08/21/2019,14.8,14.88,14.51,14.72,"116,996,280"
08/22/2019,14.85,15.03,14.55,14.81,"98,474,561"
08/23/2019,14.66,14.74,14.07,14.09,"128,395,692"
08/26/2019,14.24,14.33,14.1,14.33,"75,816,288"
08/27/2019,14.38,14.59,14.14,14.27,"81,310,989"
08/28/2019,14.25,14.48,14.15,14.37,"48,579,425"
08/29/2019,14.6,14.89,14.53,14.78,"77,746,640"
08/30/2019,15.28,15.5,14.95,15.04,"139,916,769"
09/03/2019,14.94,15.26,14.88,15.0,"80,408,258"
09/04/2019,15.13,15.23,14.61,14.71,"86,530,529"
09/05/2019,14.83,15.32,14.72,15.31,"111,049,929"
09/06/2019,15.15,15.31,15.01,15.16,"62,840,645"
09/09/2019,15.33,15.58,15.28,15.45,"72,040,094"
09/10/2019,15.39,15.7,15.26,15.7,"73,255,785"
09/11/2019,15.83,16.54,15.73,16.47,"150,641,855"
09/12/2019,16.51,16.9,16.29,16.39,"128,718,252"
09/13/2019,16.46,16.56,16.32,16.35,"79,697,257"
09/16/2019,16.4,16.5,16.08,16.19,"70,921,513"
09/17/2019,16.16,16.37,16.02,16.32,"59,203,681"
09/18/2019,16.33,16.54,16.16,16.23,"63,421,610"
09/19/2019,16.4,16.53,16.32,16.44,"73,247,085"
09/20/2019,16.43,16.46,15.88,16.04,"97,594,075"
09/23/2019,16.0,16.35,15.95,16.08,"65,874,518"
09/24/2019,16.1,16.13,14.84,14.88,"194,116,834"
09/25/2019,14.97,15.27,14.56,15.25,"141,664,420"
09/26/2019,15.38,16.22,15.16,16.17,"181,182,021"
09/27/2019,16.15,16.58,15.92,16.14,"166,847,871"
09/30/2019,16.2,16.27,15.74,16.06,"89,192,507"
10/01/2019,16.1,16.4,15.94,16.31,"92,944,445"
10/02/2019,16.22,16.31,15.96,16.21,"93,848,316"
10/03/2019,15.46,15.63,14.95,15.54,"227,066,633"
10/04/2019,15.44,15.65,15.2,15.43,"120,317,824"
10/07/2019,15.32,15.9,15.24,15.85,"121,304,465"
10/08/2019,15.72,16.26,15.63,16.0,"130,535,189"
10/09/2019,16.09,16.49,16.04,16.3,"104,025,587"
10/10/2019,16.35,16.62,16.11,16.32,"94,701,337"
10/11/2019,16.48,16.74,16.45,16.53,"127,322,516"
10/14/2019,16.53,17.24,16.48,17.13,"153,403,058"
10/15/2019,17.18,17.33,16.94,17.19,"97,191,955"
10/16/2019,17.16,17.47,17.13,17.32,"100,564,648"
10/17/2019,17.5,17.65,17.34,17.46,"71,685,704"
10/18/2019,17.38,17.52,17.01,17.13,"86,305,079"
10/21/2019,17.22,17.3,16.68,16.9,"76,621,594"
10/22/2019,16.95,17.22,16.72,17.04,"69,376,496"
10/23/2019,16.97,17.08,16.76,16.98,"168,242,858"
10/24/2019,19.89,20.33,19.28,19.98,"447,288,909"
10/25/2019,19.85,22.0,19.74,21.88,"450,091,782"
10/28/2019,21.84,22.72,21.51,21.85,"283,054,596"
10/29/2019,21.33,21.62,20.98,21.08,"190,264,215"
10/30/2019,20.87,21.25,20.66,21.0,"144,627,284"
10/31/2019,20.87,21.27,20.87,20.99,"76,004,418"
11/01/2019,21.09,21.1,20.65,20.89,"95,759,018"
11/04/2019,20.99,21.46,20.62,21.16,"131,805,735"
11/05/2019,21.31,21.57,21.07,21.15,"104,151,347"
11/06/2019,21.2,21.78,20.97,21.77,"119,114,117"
11/07/2019,21.94,22.77,21.87,22.37,"217,010,473"
11/08/2019,22.3,22.5,22.17,22.48,"91,113,409"
11/11/2019,22.93,23.28,22.8,23.01,"149,905,489"
11/12/2019,23.13,23.36,22.94,23.33,"110,390,843"
11/13/2019,23.67,23.76,23.01,23.07,"127,018,075"
11/14/2019,23.07,23.59,22.86,23.29,"97,075,645"
11/15/2019,23.38,23.52,23.22,23.48,"72,188,504"
11/18/2019,23.53,23.54,23.07,23.33,"66,127,628"
11/19/2019,23.45,24.0,23.19,23.97,"116,041,289"
11/20/2019,24.0,24.08,23.3,23.48,"101,009,564"
11/21/2019,23.63,24.06,23.6,23.66,"91,650,289"
11/22/2019,22.68,22.73,22.0,22.2,"253,059,875"
11/25/2019,22.95,22.97,22.3,22.42,"185,186,710"
11/26/2019,22.35,22.37,21.81,21.93,"119,343,708"
11/27/2019,22.07,22.26,21.9,22.09,"83,451,956"
11/29/2019,22.07,22.08,21.83,22.0,"36,984,473"
12/02/2019,21.96,22.43,21.91,22.32,"91,229,869"
12/03/2019,22.17,22.53,22.15,22.41,"99,202,242"
12/04/2019,22.52,22.52,22.19,22.2,"83,043,895"
12/05/2019,22.19,22.29,21.82,22.02,"56,054,698"
12/06/2019,22.33,22.59,22.32,22.39,"114,284,157"
12/09/2019,22.44,22.96,22.34,22.64,"135,603,394"
12/10/2019,22.66,23.38,22.62,23.26,"132,599,416"
12/11/2019,23.46,23.81,23.41,23.51,"103,787,537"
12/12/2019,23.66,24.18,23.55,23.98,"116,643,285"
12/13/2019,24.07,24.35,23.64,23.89,"97,336,315"
12/16/2019,24.17,25.57,24.17,25.43,"273,314,321"
12/17/2019,25.27,25.7,25.06,25.27,"127,556,756"
12/18/2019,25.38,26.35,25.37,26.21,"212,046,083"
12/19/2019,26.49,27.12,26.43,26.94,"271,804,944"
12/20/2019,27.35,27.53,26.68,27.04,"221,778,363"
12/23/2019,27.45,28.13,27.33,27.95,"199,992,535"
12/24/2019,27.89,28.36,27.51,28.35,"120,820,939"
12/26/2019,28.53,28.9,28.42,28.73,"159,724,499"
12/27/2019,29.0,29.02,28.41,28.69,"149,352,558"
12/30/2019,28.59,28.6,27.28,27.65,"189,019,259"
12/31/2019,27.0,28.09,26.81,27.89,"154,387,059"
01/02/2020,28.3,28.71,28.11,28.68,"143,375,922"
01/03/2020,29.37,30.27,29.13,29.53,"266,920,729"
01/06/2020,29.36,30.1,29.33,30.1,"152,362,656"
01/07/2020,30.76,31.44,30.22,31.27,"273,137,366"
01/08/2020,31.58,33.23,31.22,32.81,"467,991,286"
01/09/2020,33.14,33.25,31.52,32.09,"426,948,258"
01/10/2020,32.12,32.33,31.58,31.88,"194,652,635"
01/13/2020,32.9,35.04,32.8,34.99,"399,518,675"
01/14/2020,36.28,36.49,34.99,35.86,"435,921,103"
01/15/2020,35.32,35.86,34.45,34.57,"260,532,718"
01/16/2020,32.92,34.3,32.81,34.23,"326,050,055"
01/17/2020,33.84,34.38,33.54,34.03,"204,436,230"
01/21/2020,35.35,36.57,35.23,36.48,"267,052,339"
01/22/2020,38.13,39.63,37.27,37.97,"470,535,888"
01/23/2020,37.62,38.8,37.04,38.15,"294,765,888"
01/24/2020,38.04,38.26,36.95,37.65,"215,304,221"
01/27/2020,36.13,37.63,35.95,37.2,"204,121,260"
01/28/2020,37.9,38.45,37.21,37.79,"176,827,517"
01/29/2020,38.38,39.32,37.83,38.73,"273,250,331"
01/30/2020,42.16,43.39,41.2,42.72,"435,085,677"
01/31/2020,42.67,43.53,42.17,43.37,"235,789,292"
02/03/2020,44.91,52.41,44.9,52.0,"708,503,168"
02/04/2020,58.86,64.6,55.59,59.14,"914,082,249"
02/05/2020,54.88,56.4,46.94,48.98,"726,358,286"
02/06/2020,46.66,53.06,45.8,49.93,"598,211,924"
02/07/2020,48.7,51.32,48.67,49.87,"255,953,078"
02/10/2020,53.33,54.67,50.16,51.42,"370,337,750"
02/11/2020,51.25,52.23,50.53,51.63,"175,462,215"
02/12/2020,51.86,52.65,50.89,51.15,"180,337,220"
